Message,gtrans_el,Spam
"Had your contract mobile 11 Mnths Latest Motorola, Nokia etc. all FREE Double Mins Text on Orange tariffs. TEXT YES for callback, no to remove from records.","Είχατε το συμβόλαιό σας για κινητά 11 Mnths Τελευταία Motorola, Nokia κ.λπ. όλα ΔΩΡΕΑΝ Διπλό Mins Text στο Orange τιμολόγια. ΚΕΙΜΕΝΟ ΝΑΙ για επανάκληση, όχι για αφαίρεση από τις εγγραφές.",advertisement
You have won a guaranteed 200 award or even 1000 cashto claim UR award call free on 08000407165 18 2 stop getstop on 88222 PHP. RG21 4JX,"Έχετε κερδίσει ένα εγγυημένο βραβείο 200 ή ακόμα και 1000 μετρητά για διεκδίκηση βραβείου UR, καλέστε δωρεάν στο 08000407165 18 2 stop getstop στο 88222 PHP. RG21 4JX",phising
Do you want a NEW video phone750 anytime any network mins 150 text for only five pounds per week call 08000776320 now or reply for delivery tomorrow,Θέλετε ένα ΝΕΟ video phone750 οποιαδήποτε στιγμή οποιοδήποτε δίκτυο mins 150 SMS για μόνο πέντε λίρες την εβδομάδα καλέστε στο 08000776320 τώρα ή απαντήστε για παράδοση αύριο,advertisement
Please call Amanda with regard to renewing or upgrading your current T Mobile handset free of charge. Offer ends today. Tel 0845 021 3680 subject to T's and C's,Καλέστε την Amanda σχετικά με την ανανέωση ή την αναβάθμιση του τρέχοντος ακουστικού σας T Mobile χωρίς χρέωση. Η προσφορά λήγει σήμερα. Τηλ. 0845 021 3680 σύμφωνα με τα Τ και Γ,advertisement
Your weekly Cool Mob tones are ready to download This weeks new Tones include 1 Crazy Frog AXEL F 2 Akon Lonely 3 Black Eyed Dont P More info in n,Οι εβδομαδιαίες ήχοι Cool Mob είναι έτοιμοι για λήψη Αυτή την εβδομάδα οι νέοι ήχοι περιλαμβάνουν 1 Crazy Frog AXEL F 2 Akon Lonely 3 Black Eyed Dont P Περισσότερες πληροφορίες στο n,phising
"WELL DONE Your 4 Costa Del Sol Holiday or 5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Cost 1.50 pm, Max10mins","ΜΠΡΑΒΟ Η συλλογή 4 Costa Del Sol Holiday ή 5000 σε αναμονή. Καλέστε στο 09050090044 Τώρα για να διεκδικήσετε. SAE, TC, POBox334, Stockport, SK38xh, Κόστος 1,50 μ.μ., Μέγιστο 10 λεπτά",phising
As one of our registered subscribers u can enter the draw 4 a 100 G.B. gift voucher by replying with ENTER. To unsubscribe text STOP,"Ως ένας από τους εγγεγραμμένους συνδρομητές μας μπορείτε να μπείτε στην κλήρωση 4 έως 100 G.B. δωροεπιταγή απαντώντας με ENTER. Για απεγγραφή, στείλτε μήνυμα STOP",phising
"Win the newest Harry Potter and the Order of the Phoenix Book 5 reply HARRY, answer 5 questions chance to be the first among readers","Κερδίστε το νεότερο Χάρι Πότερ και το Τάγμα του Φοίνικα Βιβλίο 5 Απάντηση ΧΑΡΥ, απαντήστε σε 5 ερωτήσεις ευκαιρία να είστε ο πρώτος μεταξύ των αναγνωστών",advertisement
Natalja 25 F is inviting you to be her friend. Reply YES 440 or NO 440 See her www.SMS.ac u nat27081980 STOP Send STOP FRND to 62468,Η Natalja 25 F σας προσκαλεί να γίνετε φίλος της. Απάντηση ΝΑΙ 440 ή ΟΧΙ 440 Δείτε την www.SMS.ac u nat27081980 STOP Στείλτε STOP FRND στο 62468,advertisement
"Hack Chat. Get backdoor entry into 121 chat rooms at a fraction of the cost. Reply NEO69 or call 09050280520, to subscribe 25p pm. DPS, Bcm box 8027 Ldn, wc1n3xx","Hack Chat. Λάβετε είσοδο σε κερκόπορτα σε 121 δωμάτια συνομιλίας με ένα κλάσμα του κόστους. Απαντήστε στο NEO69 ή καλέστε στο 09050280520, για να εγγραφείτε 25 μ.μ. DPS, κουτί Bcm 8027 Ldn, wc1n3xx",advertisement
