Category,Message,gtrans_el
0,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...","Πήγαινε μέχρι το σημείο jurong, τρελό.. Διαθέσιμο μόνο στο bugis n great world la e buffet... Το Cine there get amore wat..."
0,Ok lar... Joking wif u oni...,Εντάξει... Αστειεύομαι με τη γυναίκα...
1,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question std txt rate T C's apply 08452810075over18's,Δωρεάν είσοδος σε 2 μια εβδομάδα για να κερδίσετε τον τελικό tkts του Κυπέλλου Αγγλίας στις 21 Μαΐου 2005. Στείλτε μήνυμα FA στο 87121 για να λάβετε ερώτηση συμμετοχής std txt ποσοστό T C ισχύουν 08452810075over18's
0,U dun say so early hor... U c already then say...,Δεν λες τόσο νωρίς... Πες ήδη...
0,"Nah I don't think he goes to usf, he lives around here though","Μπα, δεν νομίζω ότι πάει στο usf, μένει εδώ γύρω όμως"
1,"FreeMsg Hey there darling it's been 3 week's now and no word back I'd like some fun you up for it still Tb ok XxX std chgs to send, 1.50 to rcv","FreeMsg Γεια σου αγάπη μου, έχουν περάσει 3 εβδομάδες τώρα και δεν μπορώ να πω τίποτα πίσω."
0,Even my brother is not like to speak with me. They treat me like aids patent.,Ακόμα και ο αδερφός μου δεν θέλει να μιλάει μαζί μου. Με αντιμετωπίζουν σαν δίπλωμα ευρεσιτεχνίας για βοηθήματα.
0,As per your request 'Melle Melle Oru Minnaminunginte Nurungu Vettam ' has been set as your callertune for all Callers. Press 9 to copy your friends Callertune,"Σύμφωνα με το αίτημά σας, το Melle Melle Oru Minnaminunginte Nurungu Vettam έχει οριστεί ως ο τηλεφωνητής σας για όλους τους Καλούντες. Πατήστε 9 για να αντιγράψετε τους φίλους σας στο Callertune"
1,WINNER As a valued network customer you have been selected to receivea 900 prize reward To claim call 09061701461. Claim code KL341. Valid 12 hours only.,ΝΙΚΗΤΗΣ Ως αξιόλογος πελάτης του δικτύου έχετε επιλεγεί να λάβετε ένα βραβείο 900 Για να διεκδικήσετε καλέστε στο 09061701461. Κωδικός αξίωσης KL341. Ισχύει μόνο 12 ώρες.
1,Had your mobile 11 months or more U R entitled to Update to the latest colour mobiles with camera for Free Call The Mobile Update Co FREE on 08002986030,Είχατε το κινητό σας 11 μήνες ή περισσότερους δικαιούχους να ενημερώσετε τα πιο πρόσφατα έγχρωμα κινητά με κάμερα για Δωρεάν Κλήση The Mobile Update Co ΔΩΡΕΑΝ στο 08002986030
0,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k I've cried enough today.","Θα είμαι σπίτι σύντομα και δεν θέλω να μιλήσω πια για αυτά τα πράγματα απόψε, κ Έκλαψα αρκετά σήμερα."
1,"SIX chances to win CASH From 100 to 20,000 pounds txt CSH11 and send to 87575. Cost 150p day, 6days, 16 TsandCs apply Reply HL 4 info","ΕΞΙ πιθανότητες να κερδίσετε ΜΕΤΡΗΤΑ Από 100 έως 20.000 λίρες txt CSH11 και στείλτε στο 87575. Κόστος 150p ημέρα, 6 ημέρες, 16 TsandCs ισχύει Απάντηση HL 4 info"
1,"URGENT You have won a 1 week FREE membership in our 100,000 Prize Jackpot Txt the word CLAIM to No 81010 T C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",ΕΠΕΙΓΟΝ Κερδίσατε μια ΔΩΡΕΑΝ συνδρομή 1 εβδομάδας στο τζάκποτ 100.000 βραβείων μας Στείλτε τη λέξη CLAIM στο No 81010 T C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18
0,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,Έψαχνα για τις κατάλληλες λέξεις για να σε ευχαριστήσω για αυτή την ανάσα. Υπόσχομαι ότι δεν θα θεωρήσω τη βοήθειά σας δεδομένη και θα εκπληρώσω την υπόσχεσή μου. Ήσουν υπέροχος και ευλογία ανά πάσα στιγμή.
0,I HAVE A DATE ON SUNDAY WITH WILL,ΕΧΩ ΗΜΕΡΟΜΗΝΙΑ ΤΗΝ ΚΥΡΙΑΚΗ ΜΕ ΘΕΛΗΣΗ
1,"XXXMobileMovieClub To use your credit, click the WAP link in the next txt message or click here Link","XXXMobileMovieClub Για να χρησιμοποιήσετε την πίστωσή σας, κάντε κλικ στον σύνδεσμο WAP στο επόμενο μήνυμα txt ή κάντε κλικ εδώ Σύνδεσμος"
0,Oh k...i'm watching here,Ω κ... παρακολουθώ εδώ
0,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,"Ε, θυμάσαι πώς γράφει το όνομά του... Ναι, το έκανα. Αυτός v άτακτος κάνει μέχρι να βρέξω."
0,Fine if that s the way u feel. That s the way its gota b,Ωραία αν έτσι νιώθεις. Αυτός είναι ο τρόπος που πρέπει να β
1,"England v Macedonia dont miss the goals team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try WALES, SCOTLAND 4txt 1.20 POBOXox36504W45WQ 16","Αγγλία - Μακεδονία μην χάσετε τα νέα της ομάδας γκολ. Στείλτε την εθνική σας ομάδα στο 87077 π.χ. ΑΓΓΛΙΑ σε 87077 Δοκιμάστε WALES, SCOTLAND 4txt 1,20 POBOXox36504W45WQ 16"
0,Is that seriously how you spell his name,Σοβαρά γράφεις το όνομά του
0,I m going to try for 2 months ha ha only joking,Θα προσπαθήσω για 2 μήνες χα χα μόνο αστειεύομαι
0,So pay first lar... Then when is da stock comin...,Οπότε πληρώστε πρώτος τελευταίος... Τότε πότε θα έρθει το απόθεμα...
0,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already,Αφού τελειώσω το μεσημεριανό μου και μετά κατεβαίνω. Ard 3 smth lor. Τελειώσατε ήδη το μεσημεριανό σας
0,Ffffffffff. Alright no way I can meet up with you sooner,"Φφφφφφφφ. Εντάξει, δεν μπορώ να σε συναντήσω νωρίτερα"
0,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,Απλώς ανάγκασα τον εαυτό μου να φάω μια φέτα. Πραγματικά δεν πεινάω. Αυτό είναι χάλια. Ο Μαρκ ανησυχεί. Ξέρει ότι είμαι άρρωστος όταν αρνούμαι την πίτσα. Χαχαχα
0,Lol your always so convincing.,Lol είσαι πάντα τόσο πειστικός.
