Message,Spam,gtrans_el
"Huh, anyway check out this you tube channel kobyoshi02",social_promotion,"Ε, οπωσδήποτε ρίξτε μια ματιά σε αυτό το κανάλι στο YouTube kobayashi 02"
"Hey guys check out my new channel and our first vid THIS IS US THE MONKEYS I am the monkey in the white shirt,please leave a like comment and please subscribe",social_promotion,"Γεια σας παιδιά ρίξτε μια ματιά στο νέο μου κανάλι και το πρώτο μας βίντεο THIS IS US THE MONKEYS Είμαι η μαϊμού με το άσπρο πουκάμισο, αφήστε ένα σχόλιο like και κάντε εγγραφή"
just for test I have to say murdev.com,social_promotion,απλά για δοκιμή πρέπει να πω murdev.com
me shaking my sexy ass on my channel enjoy,social_promotion,κουνώντας τον σέξι κώλο μου στο κανάλι μου απολαμβάνω
watch v vtaRGgvGtWQ Check this out .,social_promotion,ρολόι vtaRGgvGtWQ Δείτε αυτό.
"Hey, check out my new website This site is about kids stuff. kidsmediausa . com",social_promotion,"Γεια, ρίξτε μια ματιά στον νέο μου ιστότοπο Αυτός ο ιστότοπος είναι για πράγματα για παιδιά. kidsmediausa . com"
Subscribe to my channel,social_promotion,Εγγραφείτε στο κανάλι μου
You should check my channel for Funny VIDEOS,social_promotion,Θα πρέπει να ελέγξετε το κανάλι μου για αστεία βίντεο
and you should.d check my channel and tell me what I should do next,social_promotion,και θα πρέπει να ελέγξετε το κανάλι μου και να μου πείτε τι πρέπει να κάνω μετά
Hey subscribe to me,social_promotion,Γεια εγγραφείτε σε μένα
Once you have started reading do not stop. If you do not subscribe to me within one day you and you are entire family will die so if you want to stay alive subscribe right now.,social_promotion,"Μόλις αρχίσετε να διαβάζετε μην σταματήσετε. Εάν δεν εγγραφείτε σε εμένα μέσα σε μια μέρα, εσείς και είστε ολόκληρη η οικογένεια θα πεθάνετε, οπότε αν θέλετε να μείνετε ζωντανοί κάντε εγγραφή τώρα."
Link,social_promotion,Σύνδεσμος
subscribe like comment,social_promotion,εγγραφείτε σαν σχόλιο
please like D Link,social_promotion,παρακαλώ όπως το D Link
"Hello Do you like gaming, art videos, scientific experiments, tutorials, lyrics videos, and much, much more of that If you do please check out our channel and subscribe to it, we have just started, but soon we hope we will be able to cover all of our expectations... You can also check out what we have got so far",social_promotion,"Γεια Σας αρέσουν τα παιχνίδια, τα καλλιτεχνικά βίντεο, τα επιστημονικά πειράματα, τα μαθήματα, τα βίντεο με στίχους και πολλά άλλα. Εάν το κάνετε, ρίξτε μια ματιά στο κανάλι μας και εγγραφείτε σε αυτό, μόλις ξεκινήσαμε, αλλά ελπίζουμε σύντομα για να καλύψετε όλες τις προσδοκίες μας... Μπορείτε επίσης να δείτε τι έχουμε μέχρι στιγμής"
"We are an EDM apparel company dedicated to bringing you music inspired designs. Our clothing is perfect for any rave or music festival. We have NEON crop tops, tank tops, t shirts, v necks and accessories follow us on Facebook or on instagraml for free giveaways news and more visit our site at OnCueApparel",advertisement,"Είμαστε μια εταιρεία ενδυμάτων EDM αφιερωμένη στο να σας προσφέρουμε σχέδια εμπνευσμένα από τη μουσική. Τα ρούχα μας είναι τέλεια για κάθε ρέιβ ή μουσικό φεστιβάλ. Έχουμε NEON crop tops, φανελάκια, μπλουζάκια, λαιμόκοψη και αξεσουάρ ακολουθήστε μας στο Facebook ή στο instagraml για δωρεάν νέα δώρα και περισσότερα επισκεφτείτε τον ιστότοπό μας στο OnCueApparel"
subscribe to my channel people D,social_promotion,εγγραφείτε στο κανάλι μου άνθρωποι Δ
Show your AUBURN PRIDE HERE Link,social_promotion,Δείξτε το AUBURN PRIDE σας ΕΔΩ Σύνδεσμος
CHECK OUT MY CHANNEL,social_promotion,ΔΕΙΤΕ ΤΟ ΚΑΝΑΛΙ ΜΟΥ
Hey guys I Am a 12 yr old music producer. I make chiptunes and 8bit music. It would be wonderful if you checked out some of my 8bit remixes I even have a gangnamstyle 8bit remix if you would like to check that out Thanks,social_promotion,"Γεια σας παιδιά, είμαι ένας 12χρονος μουσικός παραγωγός. Φτιάχνω chiptunes και μουσική 8bit. Θα ήταν υπέροχο αν τσεκάρατε μερικά από τα 8bit remix μου, έχω ακόμη και ένα remix gangnamstyle 8bit αν θέλετε να το ελέγξετε, Ευχαριστώ"
